id_contrato,dt_contratacao,vr_financiado,vr_entrada,tx_juros_anual,prazo_meses,faixa_renda,uf,tipo_imovel,programa_social,score_credito_contratacao,ltv,fl_ever_inadimplente,qtd_meses_observados,max_dias_atraso,primeiro_mes_observado,ultimo_mes_observado
44,2022-01-04,302120.9,109890.15,7.89,360,Acima de 10 SM,PR,Novo,FGTS,822,73.33,1,35,154,2022-02-01,2024-12-01
45,2022-01-04,504615.73,164519.03,11.28,180,6 a 10 SM,MG,Usado,Livre,761,75.41,1,35,108,2022-02-01,2024-12-01
46,2022-01-05,156583.48,24662.91,9.17,300,Até 3 SM,RJ,Usado,FGTS,534,86.39,1,35,175,2022-02-01,2024-12-01
47,2022-01-05,120183.28,15359.45,5.61,240,Até 3 SM,AM,Usado,MCMV,607,88.67,0,35,44,2022-02-01,2024-12-01
48,2022-01-05,379057.09,111351.19,8.88,180,6 a 10 SM,DF,Novo,Livre,638,77.29,1,35,150,2022-02-01,2024-12-01
49,2022-01-05,83058.92,11424.49,6.97,180,3 a 6 SM,MG,Novo,MCMV,657,87.91,0,35,76,2022-02-01,2024-12-01
50,2022-01-05,80000.0,11081.08,4.25,360,Até 3 SM,MS,Usado,MCMV,656,87.83,1,35,177,2022-02-01,2024-12-01
51,2022-01-05,150339.24,22328.77,7.95,360,Até 3 SM,PI,Usado,FGTS,709,87.07,1,35,141,2022-02-01,2024-12-01
52,2022-01-05,650000.0,185846.83,9.31,300,6 a 10 SM,SP,Novo,Livre,688,77.77,1,35,110,2022-02-01,2024-12-01
53,2022-01-05,250746.86,85213.66,7.2,240,Acima de 10 SM,BA,Usado,FGTS,813,74.64,0,35,85,2022-02-01,2024-12-01
54,2022-01-05,116613.08,17659.48,5.43,360,Até 3 SM,SP,Novo,MCMV,628,86.85,1,35,141,2022-02-01,2024-12-01
55,2022-01-05,153917.14,21702.61,8.83,240,Até 3 SM,AP,Usado,FGTS,709,87.64,1,35,180,2022-02-01,2024-12-01
56,2022-01-05,139700.12,24417.11,5.47,300,3 a 6 SM,SP,Usado,MCMV,540,85.12,1,35,93,2022-02-01,2024-12-01
57,2022-01-05,133672.97,18647.32,9.3,120,Até 3 SM,RJ,Usado,FGTS,522,87.76,1,35,142,2022-02-01,2024-12-01
58,2022-01-05,118387.36,18798.19,8.04,300,3 a 6 SM,RN,Usado,FGTS,689,86.3,0,35,53,2022-02-01,2024-12-01
59,2022-01-05,189750.83,43044.04,9.11,360,6 a 10 SM,RN,Novo,FGTS,773,81.51,1,35,112,2022-02-01,2024-12-01
60,2022-01-05,107125.49,24449.14,5.33,120,3 a 6 SM,RS,Usado,MCMV,599,81.42,0,35,77,2022-02-01,2024-12-01
61,2022-01-06,214686.08,43780.18,10.16,300,3 a 6 SM,SC,Novo,Livre,615,83.06,1,35,165,2022-02-01,2024-12-01
62,2022-01-06,158084.59,21273.22,6.22,240,Até 3 SM,RJ,Novo,MCMV,500,88.14,0,35,72,2022-02-01,2024-12-01
63,2022-01-06,180518.11,29023.13,5.04,300,Até 3 SM,MA,Novo,MCMV,632,86.15,1,35,116,2022-02-01,2024-12-01
64,2022-01-06,334157.13,103838.89,8.88,300,6 a 10 SM,SP,Novo,FGTS,612,76.29,1,35,109,2022-02-01,2024-12-01
65,2022-01-06,389904.24,161350.37,11.9,300,Acima de 10 SM,PB,Novo,Livre,716,70.73,0,35,89,2022-02-01,2024-12-01
66,2022-01-06,137885.63,16830.2,6.95,180,Até 3 SM,MG,Usado,MCMV,661,89.12,1,35,145,2022-02-01,2024-12-01
67,2022-01-06,85507.55,13442.29,6.31,300,Até 3 SM,BA,Usado,MCMV,561,86.42,0,35,51,2022-02-01,2024-12-01
68,2022-01-06,117772.13,16689.42,4.88,240,Até 3 SM,PB,Novo,MCMV,653,87.59,0,35,31,2022-02-01,2024-12-01
69,2022-01-06,135374.53,20155.85,8.91,180,Até 3 SM,ES,Usado,FGTS,467,87.04,1,35,127,2022-02-01,2024-12-01
70,2022-01-06,124424.64,17403.72,8.31,300,Até 3 SM,BA,Novo,FGTS,659,87.73,1,35,145,2022-02-01,2024-12-01
71,2022-01-06,106639.58,22360.02,5.57,120,3 a 6 SM,MG,Novo,MCMV,722,82.67,0,35,75,2022-02-01,2024-12-01
72,2022-01-07,128013.88,21111.27,6.7,360,Até 3 SM,SP,Usado,MCMV,672,85.84,0,35,86,2022-02-01,2024-12-01
73,2022-01-07,116937.38,19191.26,7.11,120,3 a 6 SM,PI,Novo,FGTS,690,85.9,1,35,151,2022-02-01,2024-12-01
74,2022-01-07,185232.84,41339.28,8.4,360,3 a 6 SM,MG,Novo,FGTS,563,81.75,0,35,62,2022-02-01,2024-12-01
75,2022-01-07,297453.65,55112.62,7.81,360,6 a 10 SM,RJ,Usado,FGTS,727,84.37,0,35,88,2022-02-01,2024-12-01
76,2022-01-07,235110.05,77872.5,7.69,120,6 a 10 SM,SP,Usado,FGTS,684,75.12,1,35,99,2022-02-01,2024-12-01
77,2022-01-07,135430.56,25052.67,6.84,360,3 a 6 SM,RN,Usado,MCMV,639,84.39,1,35,99,2022-02-01,2024-12-01
78,2022-01-07,109468.38,26465.6,7.2,120,3 a 6 SM,PR,Novo,FGTS,669,80.53,1,35,173,2022-02-01,2024-12-01
79,2022-01-07,98875.29,14198.09,5.2,240,Até 3 SM,PA,Usado,MCMV,543,87.44,1,35,134,2022-02-01,2024-12-01
80,2022-01-07,112591.22,27239.97,7.79,360,3 a 6 SM,SP,Usado,FGTS,562,80.52,1,35,134,2022-02-01,2024-12-01
81,2022-01-08,205086.62,37323.69,9.05,360,6 a 10 SM,MG,Novo,FGTS,810,84.6,1,35,180,2022-02-01,2024-12-01
82,2022-01-08,119694.02,15640.57,6.04,300,Até 3 SM,RJ,Novo,MCMV,517,88.44,1,35,146,2022-02-01,2024-12-01
83,2022-01-08,110466.5,15250.43,5.44,360,Até 3 SM,PB,Novo,MCMV,489,87.87,1,35,117,2022-02-01,2024-12-01
84,2022-01-08,107046.47,18762.24,4.63,240,Até 3 SM,PR,Novo,MCMV,670,85.09,0,35,59,2022-02-01,2024-12-01
85,2022-01-08,80000.0,9091.61,4.1,120,Até 3 SM,MG,Novo,MCMV,565,89.8,1,35,166,2022-02-01,2024-12-01
86,2022-01-08,138868.47,20006.98,7.13,300,Até 3 SM,GO,Usado,FGTS,677,87.41,0,35,79,2022-02-01,2024-12-01
87,2022-01-08,97959.98,19640.45,4.37,360,3 a 6 SM,SP,Usado,MCMV,511,83.3,1,35,133,2022-02-01,2024-12-01
88,2022-01-08,171465.1,21818.0,8.0,180,Até 3 SM,GO,Novo,FGTS,482,88.71,1,35,116,2022-02-01,2024-12-01
89,2022-01-08,127405.62,19024.23,6.69,300,Até 3 SM,MG,Usado,MCMV,618,87.01,1,35,144,2022-02-01,2024-12-01
90,2022-01-08,106439.69,15356.99,7.17,120,Até 3 SM,CE,Usado,FGTS,521,87.39,1,35,149,2022-02-01,2024-12-01
91,2022-01-08,222656.1,32245.08,5.09,180,Até 3 SM,BA,Usado,MCMV,596,87.35,1,35,147,2022-02-01,2024-12-01
92,2022-01-09,174177.75,21046.38,7.3,360,Até 3 SM,RS,Novo,FGTS,449,89.22,0,35,80,2022-02-01,2024-12-01
93,2022-01-09,108353.19,13321.07,6.61,360,Até 3 SM,PR,Usado,MCMV,615,89.05,1,35,145,2022-02-01,2024-12-01
94,2022-01-09,114089.35,24197.77,6.57,360,3 a 6 SM,AL,Usado,MCMV,755,82.5,1,35,135,2022-02-01,2024-12-01
95,2022-01-09,128844.9,21042.68,4.91,300,Até 3 SM,PR,Usado,MCMV,591,85.96,1,35,167,2022-02-01,2024-12-01
96,2022-01-09,80000.0,12799.57,5.73,300,Até 3 SM,PR,Usado,MCMV,626,86.21,0,35,90,2022-02-01,2024-12-01
97,2022-01-09,167066.22,19892.76,8.67,240,Até 3 SM,RJ,Usado,FGTS,457,89.36,0,35,27,2022-02-01,2024-12-01
98,2022-01-09,184588.8,42246.38,9.05,180,3 a 6 SM,AC,Usado,FGTS,575,81.38,0,35,21,2022-02-01,2024-12-01
99,2022-01-10,200000.0,47016.27,9.15,240,3 a 6 SM,BA,Novo,Livre,543,80.97,1,35,166,2022-02-01,2024-12-01
100,2022-01-10,378476.58,74811.5,9.35,300,6 a 10 SM,SP,Usado,Livre,733,83.5,1,35,106,2022-02-01,2024-12-01
101,2022-01-10,148745.17,33311.59,9.33,180,3 a 6 SM,PR,Novo,FGTS,548,81.7,1,35,130,2022-02-01,2024-12-01
102,2022-01-10,104149.42,14566.82,4.79,300,3 a 6 SM,SP,Usado,MCMV,630,87.73,0,35,62,2022-02-01,2024-12-01
103,2022-01-10,280833.28,73370.39,11.92,360,6 a 10 SM,PR,Novo,Livre,712,79.29,1,35,149,2022-02-01,2024-12-01
104,2022-01-10,108855.28,13398.92,4.02,300,Até 3 SM,PE,Usado,MCMV,567,89.04,1,35,120,2022-02-01,2024-12-01
105,2022-01-10,138724.38,31363.03,5.05,300,3 a 6 SM,SP,Novo,MCMV,506,81.56,0,35,66,2022-02-01,2024-12-01
106,2022-01-10,200000.0,36168.63,10.39,360,3 a 6 SM,SP,Novo,Livre,617,84.69,1,35,143,2022-02-01,2024-12-01
107,2022-01-10,132743.46,32319.18,4.88,240,3 a 6 SM,MT,Novo,MCMV,610,80.42,0,35,74,2022-02-01,2024-12-01
108,2022-01-10,138551.87,24182.08,4.33,300,Até 3 SM,SP,Novo,MCMV,668,85.14,1,35,118,2022-02-01,2024-12-01
109,2022-01-10,189031.04,35263.33,9.44,120,3 a 6 SM,PA,Usado,FGTS,668,84.28,1,35,131,2022-02-01,2024-12-01
110,2022-01-11,109623.92,23906.28,6.96,300,3 a 6 SM,SP,Novo,MCMV,573,82.1,1,35,174,2022-02-01,2024-12-01
111,2022-01-11,219021.96,37759.79,9.35,360,Até 3 SM,DF,Usado,FGTS,485,85.29,1,35,155,2022-02-01,2024-12-01
112,2022-01-11,108733.41,22724.19,5.69,240,3 a 6 SM,MA,Usado,MCMV,522,82.71,0,35,56,2022-02-01,2024-12-01
113,2022-01-11,104020.32,17887.98,7.36,300,Até 3 SM,SP,Novo,FGTS,526,85.33,1,35,174,2022-02-01,2024-12-01
114,2022-01-11,594262.94,180518.13,8.87,120,6 a 10 SM,BA,Novo,Livre,864,76.7,1,35,104,2022-02-01,2024-12-01
115,2022-01-11,293432.96,64197.49,9.1,120,6 a 10 SM,SP,Novo,FGTS,661,82.05,0,35,83,2022-02-01,2024-12-01
116,2022-01-11,516684.59,140034.56,10.32,300,6 a 10 SM,RN,Novo,Livre,730,78.68,1,35,159,2022-02-01,2024-12-01
117,2022-01-11,147589.8,28519.32,5.46,120,3 a 6 SM,GO,Usado,MCMV,735,83.81,0,35,81,2022-02-01,2024-12-01
118,2022-01-11,89968.06,17429.0,6.68,120,3 a 6 SM,RJ,Novo,MCMV,531,83.77,1,35,138,2022-02-01,2024-12-01
119,2022-01-11,298647.95,83685.92,8.85,120,6 a 10 SM,MG,Usado,FGTS,767,78.11,0,35,9,2022-02-01,2024-12-01
120,2022-01-11,138158.05,27493.25,8.62,300,3 a 6 SM,MG,Novo,FGTS,512,83.4,1,35,137,2022-02-01,2024-12-01
121,2022-01-11,139200.46,31919.67,6.94,180,3 a 6 SM,MG,Novo,MCMV,800,81.35,0,35,41,2022-02-01,2024-12-01
122,2022-01-11,141462.08,16442.09,5.16,240,Até 3 SM,RS,Novo,MCMV,503,89.59,1,35,155,2022-02-01,2024-12-01
123,2022-01-12,381337.61,118582.63,9.0,300,Acima de 10 SM,PR,Novo,FGTS,845,76.28,1,35,144,2022-02-01,2024-12-01
124,2022-01-12,202079.39,45077.11,5.29,360,3 a 6 SM,BA,Usado,MCMV,753,81.76,1,35,167,2022-02-01,2024-12-01
125,2022-01-12,445800.91,126437.01,11.64,240,Acima de 10 SM,SC,Novo,Livre,640,77.9,1,35,126,2022-02-01,2024-12-01
126,2022-01-12,141871.11,17732.43,7.04,300,Até 3 SM,MG,Usado,FGTS,520,88.89,1,35,147,2022-02-01,2024-12-01
127,2022-01-12,131976.79,22694.39,5.88,300,Até 3 SM,SP,Usado,MCMV,644,85.33,1,35,170,2022-02-01,2024-12-01
128,2022-01-12,98913.91,11924.73,6.09,360,Até 3 SM,AM,Usado,MCMV,692,89.24,1,35,148,2022-02-01,2024-12-01
129,2022-01-12,387941.5,83627.87,9.46,360,6 a 10 SM,MG,Usado,Livre,777,82.27,1,35,107,2022-02-01,2024-12-01
130,2022-01-12,168348.02,29694.26,8.6,360,3 a 6 SM,SP,Usado,FGTS,820,85.01,0,35,9,2022-02-01,2024-12-01
131,2022-01-12,155504.31,23321.1,9.02,300,3 a 6 SM,SP,Novo,FGTS,732,86.96,1,35,108,2022-02-01,2024-12-01
132,2022-01-12,137362.25,19057.44,8.87,300,Até 3 SM,RR,Usado,FGTS,702,87.82,1,35,177,2022-02-01,2024-12-01
133,2022-01-12,114905.17,13278.42,7.53,180,Até 3 SM,RS,Usado,FGTS,615,89.64,1,35,125,2022-02-01,2024-12-01
134,2022-01-12,208905.03,31431.27,7.5,180,3 a 6 SM,GO,Usado,FGTS,631,86.92,1,35,121,2022-02-01,2024-12-01
135,2022-01-13,107902.05,14731.67,7.73,240,3 a 6 SM,SP,Novo,FGTS,572,87.99,1,35,145,2022-02-01,2024-12-01
136,2022-01-13,284927.04,82708.59,7.96,240,6 a 10 SM,MS,Usado,FGTS,767,77.5,1,35,120,2022-02-01,2024-12-01
137,2022-01-13,123620.08,23335.51,8.19,240,3 a 6 SM,CE,Novo,FGTS,634,84.12,1,35,107,2022-02-01,2024-12-01
138,2022-01-13,174932.55,28856.65,7.16,300,Até 3 SM,PR,Usado,FGTS,569,85.84,1,35,93,2022-02-01,2024-12-01
139,2022-01-13,153162.67,25433.74,4.68,240,3 a 6 SM,PR,Usado,MCMV,595,85.76,1,35,141,2022-02-01,2024-12-01
140,2022-01-13,225393.53,50603.01,8.63,300,3 a 6 SM,MG,Novo,FGTS,590,81.67,1,35,173,2022-02-01,2024-12-01
141,2022-01-13,300816.06,74363.6,7.26,360,6 a 10 SM,MT,Novo,FGTS,728,80.18,0,35,46,2022-02-01,2024-12-01
142,2022-01-13,200000.0,35548.18,10.27,180,3 a 6 SM,SP,Usado,Livre,729,84.91,1,35,96,2022-02-01,2024-12-01
143,2022-01-14,385266.22,97980.8,9.67,240,Acima de 10 SM,SP,Usado,Livre,845,79.72,0,35,78,2022-02-01,2024-12-01
144,2022-01-14,213198.08,48549.58,8.28,300,6 a 10 SM,PI,Usado,FGTS,837,81.45,1,35,109,2022-02-01,2024-12-01
145,2022-01-14,200000.0,45745.5,11.18,300,3 a 6 SM,PR,Novo,Livre,693,81.39,1,35,173,2022-02-01,2024-12-01
146,2022-01-14,80000.0,9863.99,6.13,300,Até 3 SM,DF,Usado,MCMV,630,89.02,1,35,103,2022-02-01,2024-12-01
147,2022-01-14,134390.07,15008.89,5.54,180,Até 3 SM,SP,Novo,MCMV,553,89.95,1,35,119,2022-02-01,2024-12-01
148,2022-01-14,132233.35,15101.77,5.61,180,Até 3 SM,PI,Novo,MCMV,579,89.75,0,35,90,2022-02-01,2024-12-01
149,2022-01-14,166677.91,30745.44,5.72,300,3 a 6 SM,MG,Usado,MCMV,600,84.43,1,35,149,2022-02-01,2024-12-01
150,2022-01-14,121162.39,22143.99,8.0,360,3 a 6 SM,SP,Usado,FGTS,639,84.55,1,35,150,2022-02-01,2024-12-01
151,2022-01-14,91695.42,15301.68,5.49,180,3 a 6 SM,SP,Novo,MCMV,735,85.7,0,35,57,2022-02-01,2024-12-01
152,2022-01-14,149648.86,30797.29,4.55,300,3 a 6 SM,SP,Usado,MCMV,701,82.93,0,35,58,2022-02-01,2024-12-01
153,2022-01-14,260826.22,40100.21,8.68,360,Até 3 SM,SP,Novo,FGTS,545,86.67,1,35,117,2022-02-01,2024-12-01
154,2022-01-14,262408.44,38572.97,5.81,300,Até 3 SM,SP,Novo,MCMV,616,87.18,1,35,140,2022-02-01,2024-12-01
155,2022-01-14,92785.46,16882.16,5.25,300,3 a 6 SM,SC,Usado,MCMV,604,84.61,1,35,143,2022-02-01,2024-12-01
156,2022-01-14,85331.9,17675.86,6.09,360,3 a 6 SM,BA,Usado,MCMV,721,82.84,1,35,178,2022-02-01,2024-12-01
157,2022-01-15,200000.0,38385.42,11.66,360,3 a 6 SM,PR,Novo,Livre,634,83.9,1,35,103,2022-02-01,2024-12-01
158,2022-01-15,172576.52,25341.81,7.21,360,Até 3 SM,CE,Usado,FGTS,629,87.2,1,35,167,2022-02-01,2024-12-01
159,2022-01-15,507272.93,107442.57,8.62,300,6 a 10 SM,RS,Novo,Livre,640,82.52,0,35,90,2022-02-01,2024-12-01
160,2022-01-15,180704.29,34030.19,7.86,360,3 a 6 SM,MS,Novo,FGTS,611,84.15,0,35,45,2022-02-01,2024-12-01
161,2022-01-15,264305.02,39166.53,7.1,360,Até 3 SM,PB,Usado,FGTS,569,87.09,1,35,168,2022-02-01,2024-12-01
162,2022-01-15,93875.65,15094.31,6.86,120,Até 3 SM,MG,Novo,MCMV,636,86.15,1,35,151,2022-02-01,2024-12-01
163,2022-01-15,96911.48,13973.91,6.39,300,3 a 6 SM,SE,Novo,MCMV,672,87.4,1,35,117,2022-02-01,2024-12-01
164,2022-01-15,91890.55,22320.62,5.56,300,3 a 6 SM,BA,Novo,MCMV,637,80.46,0,35,76,2022-02-01,2024-12-01
165,2022-01-15,159629.97,27624.17,7.51,360,Até 3 SM,SC,Usado,FGTS,616,85.25,1,35,162,2022-02-01,2024-12-01
166,2022-01-15,319213.0,58759.17,8.49,300,6 a 10 SM,PR,Novo,FGTS,662,84.45,0,35,69,2022-02-01,2024-12-01
167,2022-01-15,252450.2,49669.81,8.97,360,6 a 10 SM,MT,Usado,FGTS,701,83.56,0,35,46,2022-02-01,2024-12-01
168,2022-01-15,177272.61,31288.64,8.34,300,3 a 6 SM,MA,Novo,FGTS,696,85.0,1,35,119,2022-02-01,2024-12-01
169,2022-01-15,138535.36,30852.59,8.45,300,3 a 6 SM,MA,Novo,FGTS,613,81.79,1,35,144,2022-02-01,2024-12-01
170,2022-01-15,96728.84,12560.19,5.39,300,Até 3 SM,SP,Usado,MCMV,610,88.51,1,35,147,2022-02-01,2024-12-01
171,2022-01-15,299360.81,34807.8,8.17,360,Até 3 SM,PB,Usado,FGTS,622,89.58,1,35,164,2022-02-01,2024-12-01
172,2022-01-15,263834.27,54316.34,7.58,180,6 a 10 SM,SP,Usado,FGTS,693,82.93,1,35,133,2022-02-01,2024-12-01
173,2022-01-15,347556.02,64795.87,7.76,240,6 a 10 SM,PB,Usado,FGTS,729,84.29,0,35,87,2022-02-01,2024-12-01
174,2022-01-15,387327.6,108819.12,10.49,360,6 a 10 SM,PR,Novo,Livre,597,78.07,0,35,85,2022-02-01,2024-12-01
175,2022-01-15,132174.42,19234.97,8.79,360,Até 3 SM,RJ,Novo,FGTS,657,87.3,1,35,149,2022-02-01,2024-12-01
176,2022-01-15,200000.0,47050.7,10.6,360,3 a 6 SM,SP,Usado,Livre,694,80.96,1,35,118,2022-02-01,2024-12-01
177,2022-01-16,427532.94,175870.55,9.64,180,Acima de 10 SM,RN,Usado,Livre,732,70.85,1,35,144,2022-02-01,2024-12-01
178,2022-01-16,328244.86,93550.32,9.18,300,6 a 10 SM,CE,Novo,FGTS,603,77.82,0,35,83,2022-02-01,2024-12-01
179,2022-01-16,200000.0,44417.04,10.68,180,3 a 6 SM,SC,Novo,Livre,668,81.83,1,35,175,2022-02-01,2024-12-01
180,2022-01-16,252214.64,39735.39,8.52,120,3 a 6 SM,PE,Usado,FGTS,634,86.39,0,35,65,2022-02-01,2024-12-01
181,2022-01-16,111003.1,17603.6,5.48,240,Até 3 SM,TO,Novo,MCMV,575,86.31,1,35,138,2022-02-01,2024-12-01
182,2022-01-16,165776.49,33010.23,6.23,300,3 a 6 SM,AL,Novo,MCMV,785,83.39,0,35,90,2022-02-01,2024-12-01
183,2022-01-16,287615.37,44575.31,9.37,360,Até 3 SM,SP,Usado,FGTS,594,86.58,1,35,152,2022-02-01,2024-12-01
184,2022-01-16,314244.83,88938.73,8.11,180,6 a 10 SM,BA,Usado,FGTS,759,77.94,0,35,39,2022-02-01,2024-12-01
185,2022-01-16,200000.0,49585.01,11.56,180,3 a 6 SM,SP,Novo,Livre,598,80.13,0,35,89,2022-02-01,2024-12-01
186,2022-01-16,200000.0,30855.47,8.67,300,3 a 6 SM,MG,Usado,Livre,602,86.63,1,35,158,2022-02-01,2024-12-01
187,2022-01-16,430112.91,107479.97,8.49,300,6 a 10 SM,PB,Novo,FGTS,744,80.01,1,35,139,2022-02-01,2024-12-01
188,2022-01-16,163466.33,28245.97,8.48,180,Até 3 SM,MG,Usado,FGTS,606,85.27,1,35,103,2022-02-01,2024-12-01
189,2022-01-16,102210.48,11772.41,6.44,180,Até 3 SM,MG,Usado,MCMV,488,89.67,1,35,135,2022-02-01,2024-12-01
190,2022-01-16,436437.79,119449.31,8.67,360,6 a 10 SM,BA,Novo,Livre,671,78.51,1,35,129,2022-02-01,2024-12-01
191,2022-01-16,396238.31,81871.74,11.11,180,3 a 6 SM,SP,Usado,Livre,648,82.88,1,35,147,2022-02-01,2024-12-01
