dt_referencia,contratos_ativos,contratos_inadimplentes,taxa_inadimplencia,vr_parcela_devida_total,vr_pago_total,dias_atraso_medio,saldo_devedor_medio,share_atraso_1_30,share_atraso_31_60,share_atraso_61_90,share_atraso_1_90,ltv_medio,score_medio,share_baixa_renda,share_programa_social,taxa_inadimplencia_pct,pct_pago_devido,selic_12m,ipca_12m,tx_desemprego_12m,rendimento_medio,confianca_consumidor
2023-09-01,7195,373,0.05184155663655316,12359600.99,11373591.56,11.892425295343989,197750.62539402363,9.242529534398889,4.8366921473245315,2.237665045170257,16.316886726893674,83.56034468380821,643.6747741487144,34.523974982626825,83.64141765114664,5.184155663655316,92.02231988882353,12.82,6.82,8.18,3033.42,90.97
2023-10-01,7620,389,0.0510498687664042,13046797.78,11990479.78,12.094356955380578,197075.63842388452,10.406824146981627,4.435695538057742,2.5721784776902887,17.414698162729657,83.56079658792652,643.2007874015748,34.645669291338585,83.68766404199475,5.10498687664042,91.90362249946669,12.24,6.81,8.31,3033.93,90.81
2023-11-01,8096,433,0.053483201581027665,13824154.88,12700159.38,12.431200592885375,196562.436909585,10.017292490118578,4.7060276679841895,2.4703557312252964,17.193675889328063,83.5827124505929,642.8451086956521,34.94318181818182,83.70800395256917,5.348320158102767,91.86933660858985,11.75,6.83,8.28,3025.56,93.17
2023-12-01,8545,452,0.05289643066120538,14597610.45,13399981.59,12.362785254534815,196681.52573668814,10.520772381509655,4.634289057928613,2.270333528379169,17.425394967817436,83.5767922761849,642.9797542422469,34.7571679344646,83.83850204798128,5.289643066120538,91.79571982618566,11.68,6.85,8.19,3070.51,97.27
2024-01-01,8997,442,0.04912748694009114,15363034.44,14083293.41,11.87295765255085,196700.86225519617,10.203401133711237,4.990552406357675,2.278537290207847,17.47249083027676,83.58170167833721,642.8161609425364,34.844948316105366,83.91686117594755,4.912748694009114,91.66999830015352,11.72,6.24,8.53,3060.47,96.75
2024-02-01,9550,434,0.045445026178010474,16318031.61,15069573.09,11.377277486910994,196832.57050680628,10.366492146596858,4.7643979057591626,2.450261780104712,17.581151832460733,83.57198952879581,643.0675392670157,34.60732984293194,83.97905759162305,4.544502617801047,92.349208839411,11.26,6.16,8.5,3103.76,98.28
2024-03-01,10000,487,0.0487,17145405.92,15745265.43,12.0772,197149.131903,9.47,5.27,2.63,17.37,83.561595,643.3869,34.37,83.8,4.87,91.83372795877204,11.19,5.71,8.23,3088.47,99.49
2024-04-01,10000,466,0.0466,17145405.92,15839122.1,11.6644,196908.31319000002,10.01,5.140000000000001,2.3,17.45,83.561595,643.3869,34.37,83.8,4.66,92.38114381137964,10.77,5.51,7.87,3150.43,99.88
2024-05-01,10000,500,0.05,17145405.92,15791410.23,11.7512,196670.76224,9.47,4.68,2.39,16.54,83.561595,643.3869,34.37,83.8,5.0,92.1028659436953,10.47,5.94,7.37,3116.33,100.24
2024-06-01,10000,521,0.0521,17145405.92,15727992.93,12.1498,196438.066608,9.76,4.760000000000001,2.4,16.919999999999998,83.561595,643.3869,34.37,83.8,5.21,91.73298668685004,10.49,5.94,7.29,3138.13,99.44
2024-07-01,10000,517,0.0517,17145405.92,15724832.85,11.9893,196204.234653,9.45,4.41,2.53,16.39,83.561595,643.3869,34.37,83.8,5.17,91.71455562715542,10.47,5.34,6.98,3173.41,97.82
2024-08-01,10000,527,0.0527,17145405.92,15714649.07,12.3654,195969.964666,9.77,4.65,2.42,16.84,83.561595,643.3869,34.37,83.8,5.27,91.6551590748223,10.84,5.49,6.68,3145.1,97.62
2024-09-01,10000,523,0.0523,17145405.92,15729045.26,12.4338,195732.807852,9.34,4.87,2.5700000000000003,16.78,83.561595,643.3869,34.37,83.8,5.2299999999999995,91.73912436597476,10.75,5.12,6.75,3186.83,96.31
2024-10-01,10000,497,0.0497,17145405.92,15776309.07,11.8634,195489.44780999998,9.53,4.8,2.37,16.7,83.561595,643.3869,34.37,83.8,4.97,92.01478893886694,10.95,4.65,6.91,3221.0,99.52
2024-11-01,10000,546,0.0546,17145405.92,15676234.28,12.6574,195254.570678,9.700000000000001,4.7,2.6599999999999997,17.06,83.561595,643.3869,34.37,83.8,5.46,91.43110611171811,11.29,4.78,7.11,3175.28,98.98
2024-12-01,10000,500,0.05,17145405.92,15737092.23,12.1065,195012.15056500002,9.520000000000001,4.9799999999999995,2.5700000000000003,17.07,83.561595,643.3869,34.37,83.8,5.0,91.78605804627108,11.19,4.96,6.93,3223.69,106.08
