categoria,contratos,taxa_ever_inadimplente,score_medio,ltv_medio,tx_juros_anual_media,prazo_meses_medio,segmento
RS,604,0.5215231788079471,645.3344370860927,83.80157284768212,7.530513245033113,270.19867549668874,uf
SC,269,0.4944237918215613,651.9516728624535,83.07293680297397,7.651375464684014,268.7732342007435,uf
SE,102,0.5784313725490197,657.3137254901961,83.52176470588235,7.709901960784314,270.0,uf
SP,2164,0.5318853974121996,640.6150646950092,83.582292051756,7.679098890942699,269.80591497227357,uf
TO,99,0.4444444444444444,642.6767676767677,83.55757575757576,7.3115151515151515,260.6060606060606,uf
Novo,4530,0.517439293598234,644.6183222958057,83.57455849889625,7.627004415011038,271.1920529801325,tipo_imovel
Usado,5470,0.5330895795246801,642.3670932358318,83.55085923217551,7.675694698354662,271.1297989031079,tipo_imovel
FGTS,5027,0.5144221205490352,658.2462701412373,82.53589417147404,8.26927988860155,272.45275512233934,programa_social
Livre,1620,0.5037037037037037,675.0475308641975,81.62341975308642,10.231555555555556,270.9259259259259,programa_social
MCMV,3353,0.5541306292872055,605.8121085594989,86.03580972263644,5.485114822546973,269.3289591410677,programa_social
120 meses,964,0.5228215767634855,643.1690871369294,83.50008298755186,7.683734439834025,120.0,prazo_meses_cat
180 meses,1497,0.5277221108884436,641.1389445557783,83.57779559118237,7.605263861055445,180.0,prazo_meses_cat
240 meses,1949,0.5192406362237044,645.2493586454592,83.51609543355566,7.639825551564905,240.0,prazo_meses_cat
300 meses,2562,0.5292740046838408,643.007806401249,83.56267759562841,7.671260733801717,300.0,prazo_meses_cat
360 meses,3028,0.5277410832232496,643.6895640686922,83.60153896961691,7.66195178335535,360.0,prazo_meses_cat
10.67-12.00,618,0.5242718446601942,678.0194174757281,81.48042071197412,11.337653721682848,273.1067961165049,tx_juros_anual_faixa
4.00-5.33,1516,0.5428759894459103,602.353562005277,86.07440633245383,4.662097625329815,271.02902374670185,tx_juros_anual_faixa
5.33-6.67,1437,0.5581071677105081,609.2546972860125,86.01227557411273,5.982101600556716,269.3528183716075,tx_juros_anual_faixa
6.67-8.00,2373,0.5195954487989887,649.2326169405816,83.19538137378846,7.380257058575642,271.8331226295828,tx_juros_anual_faixa
8.00-9.33,3121,0.5123357898109581,660.3803268183275,82.38400833066325,8.717263697532843,271.432233258571,tx_juros_anual_faixa
9.33-10.67,935,0.5122994652406417,667.9251336898395,81.95666310160428,9.781561497326203,270.2245989304813,tx_juros_anual_faixa
300-400,40,0.625,367.975,86.73075,6.92525,250.5,score_credito_contratacao_faixa
400-500,685,0.6291970802919709,465.93138686131385,86.53351824817518,6.869445255474452,269.7810218978102,score_credito_contratacao_faixa
500-600,2658,0.5838976674191121,558.6343115124154,85.66241534988714,7.216847253574116,270.99322799097064,score_credito_contratacao_faixa
600-700,3833,0.517871119227759,649.1463605530915,83.8192512392382,7.630174797808505,271.964518653796,score_credito_contratacao_faixa
700-800,2171,0.46890833717181024,741.6688162137264,81.03570704744357,8.250976508521418,271.39567019806543,score_credito_contratacao_faixa
800-900,613,0.4061990212071778,843.0603588907014,78.25913539967374,8.502593800978794,268.8743882544861,score_credito_contratacao_faixa
70.00-73.33,310,0.3903225806451613,770.7354838709678,71.72216129032257,8.818548387096774,273.2903225806452,ltv_faixa
73.33-76.67,670,0.4134328358208955,731.4791044776119,75.47313432835821,8.710283582089552,268.02985074626866,ltv_faixa
76.67-80.00,973,0.4234326824254882,719.2887975334019,78.35579650565262,8.815590955806783,273.36073997944504,ltv_faixa
80.00-83.33,2136,0.4897003745318352,657.0992509363296,81.70466760299627,7.991671348314607,269.35393258426967,ltv_faixa
83.33-86.67,3051,0.5598164536217634,623.9613241560144,85.21190101606031,7.430285152409046,270.65880039331364,ltv_faixa
86.67-90.00,2860,0.593006993006993,593.6055944055944,88.13713636363636,6.870335664335665,272.7902097902098,ltv_faixa
