id_contrato,dt_contratacao,vr_financiado,vr_entrada,tx_juros_anual,prazo_meses,faixa_renda,uf,tipo_imovel,programa_social,score_credito_contratacao,ltv,fl_ever_inadimplente,primeiro_mes_observado,ultimo_mes_observado,qtd_meses_observados,max_dias_atraso,regiao,score_100,ltv_10pp,prazo_5anos,log_vr_financiado
11,2022-01-01,250000.0,75677.79,10.88,180,6 a 10 SM,SC,Novo,Livre,543,76.76,0,2022-02-01,2024-12-01,35,83,Sul,5.43,7.676,3.0,12.429216196844383
12,2022-01-01,200000.0,42922.31,11.16,180,3 a 6 SM,SP,Novo,Livre,547,82.33,1,2022-02-01,2024-12-01,35,153,Sudeste,5.47,8.233,3.0,12.206072645530174
13,2022-01-01,120915.19,28361.71,5.18,180,3 a 6 SM,PA,Usado,MCMV,586,81.0,1,2022-02-01,2024-12-01,35,148,Norte,5.86,8.1,3.0,11.702844669736352
14,2022-01-01,200000.0,38357.36,11.53,240,3 a 6 SM,RJ,Novo,Livre,563,83.91,0,2022-02-01,2024-12-01,35,90,Sudeste,5.63,8.391,4.0,12.206072645530174
15,2022-01-02,139177.33,32951.27,8.38,180,3 a 6 SM,SE,Novo,FGTS,681,80.86,1,2022-02-01,2024-12-01,35,157,Nordeste,6.81,8.086,3.0,11.843504154424055
16,2022-01-02,82615.11,16818.91,5.63,360,3 a 6 SM,SP,Usado,MCMV,568,83.09,1,2022-02-01,2024-12-01,35,121,Sudeste,5.68,8.309000000000001,6.0,11.32194787256154
17,2022-01-02,234767.8,74300.15,9.09,360,6 a 10 SM,SP,Usado,FGTS,559,75.96,0,2022-02-01,2024-12-01,35,74,Sudeste,5.59,7.595999999999999,6.0,12.366352219542026
18,2022-01-02,152994.01,38073.78,5.71,360,3 a 6 SM,BA,Novo,MCMV,649,80.07,1,2022-02-01,2024-12-01,35,152,Nordeste,6.49,8.007,6.0,11.938154049281382
19,2022-01-02,94720.41,13441.9,4.48,300,Até 3 SM,PB,Novo,MCMV,693,87.57,1,2022-02-01,2024-12-01,35,143,Nordeste,6.93,8.757,5.0,11.458684778655762
20,2022-01-02,187055.83,64050.06,7.73,240,Acima de 10 SM,SP,Usado,FGTS,673,74.49,0,2022-02-01,2024-12-01,35,56,Sudeste,6.73,7.449,4.0,12.139162407427438
21,2022-01-02,236746.8,35989.63,8.5,300,3 a 6 SM,MS,Usado,FGTS,628,86.8,1,2022-02-01,2024-12-01,35,139,Centro-Oeste,6.28,8.68,5.0,12.374746494589502
22,2022-01-02,224153.29,64423.89,8.02,240,6 a 10 SM,MG,Usado,FGTS,614,77.68,1,2022-02-01,2024-12-01,35,133,Sudeste,6.14,7.768000000000001,4.0,12.320085427147072
23,2022-01-02,148205.83,19319.21,6.79,360,Até 3 SM,MG,Novo,MCMV,705,88.47,1,2022-02-01,2024-12-01,35,108,Sudeste,7.05,8.847,6.0,11.90635732980182
24,2022-01-02,146723.98,16715.4,4.27,360,Até 3 SM,MG,Novo,MCMV,454,89.77,1,2022-02-01,2024-12-01,35,178,Sudeste,4.54,8.977,6.0,11.89630841362183
25,2022-01-02,89388.67,18870.1,4.84,360,3 a 6 SM,MT,Novo,MCMV,577,82.57,1,2022-02-01,2024-12-01,35,123,Centro-Oeste,5.77,8.257,6.0,11.400749219349441
26,2022-01-02,135737.17,22734.42,5.96,360,Até 3 SM,DF,Novo,MCMV,606,85.65,0,2022-02-01,2024-12-01,35,43,Centro-Oeste,6.06,8.565000000000001,6.0,11.81847572135911
27,2022-01-02,97923.12,11244.69,6.3,180,Até 3 SM,SP,Usado,MCMV,631,89.7,1,2022-02-01,2024-12-01,35,141,Sudeste,6.31,8.97,3.0,11.491937959983645
28,2022-01-03,233246.82,60473.49,8.38,300,6 a 10 SM,MG,Novo,FGTS,716,79.41,0,2022-02-01,2024-12-01,35,87,Sudeste,7.16,7.941,5.0,12.35985248517614
29,2022-01-03,200000.0,47464.51,9.57,120,3 a 6 SM,SP,Novo,Livre,729,80.82,1,2022-02-01,2024-12-01,35,100,Sudeste,7.29,8.081999999999999,2.0,12.206072645530174
30,2022-01-03,314906.63,77866.46,9.71,360,6 a 10 SM,AL,Novo,Livre,900,80.18,0,2022-02-01,2024-12-01,35,85,Nordeste,9.0,8.018,6.0,12.66003146117043
31,2022-01-03,172188.56,35766.87,4.21,360,3 a 6 SM,BA,Novo,MCMV,492,82.8,1,2022-02-01,2024-12-01,35,145,Nordeste,4.92,8.28,6.0,12.056345434390277
32,2022-01-03,384430.23,126980.35,7.86,240,6 a 10 SM,SP,Usado,FGTS,657,75.17,1,2022-02-01,2024-12-01,35,150,Sudeste,6.57,7.517,4.0,12.859517595025693
33,2022-01-03,120513.56,19928.96,5.63,240,Até 3 SM,PB,Novo,MCMV,515,85.81,1,2022-02-01,2024-12-01,35,93,Nordeste,5.15,8.581,4.0,11.699517556702027
34,2022-01-03,175239.56,22377.97,9.11,240,Até 3 SM,RJ,Novo,FGTS,548,88.68,1,2022-02-01,2024-12-01,35,148,Sudeste,5.48,8.868,4.0,12.073909231082409
35,2022-01-03,200000.0,28747.85,11.36,360,3 a 6 SM,RS,Novo,Livre,730,87.43,0,2022-02-01,2024-12-01,35,83,Sul,7.3,8.743,6.0,12.206072645530174
36,2022-01-04,190915.08,39796.91,8.18,360,6 a 10 SM,SE,Novo,FGTS,610,82.75,0,2022-02-01,2024-12-01,35,77,Nordeste,6.1,8.275,6.0,12.15958400083178
37,2022-01-04,88160.67,10285.8,5.68,300,Até 3 SM,BA,Usado,MCMV,509,89.55,1,2022-02-01,2024-12-01,35,103,Nordeste,5.09,8.955,5.0,11.386916224176375
38,2022-01-04,230772.7,33870.77,8.51,300,3 a 6 SM,RJ,Novo,Livre,574,87.2,1,2022-02-01,2024-12-01,35,133,Sudeste,5.74,8.72,5.0,12.34918852239118
39,2022-01-04,152777.35,49566.55,7.43,300,6 a 10 SM,GO,Novo,FGTS,734,75.5,0,2022-02-01,2024-12-01,35,68,Centro-Oeste,7.34,7.55,5.0,11.936736911742669
40,2022-01-04,168067.6,20425.2,7.18,180,Até 3 SM,SE,Novo,FGTS,304,89.16,1,2022-02-01,2024-12-01,35,173,Nordeste,3.04,8.916,3.0,12.032121558404272
41,2022-01-04,203053.01,42673.78,11.76,360,3 a 6 SM,SP,Novo,Livre,744,82.63,1,2022-02-01,2024-12-01,35,164,Sudeste,7.44,8.263,6.0,12.221222356939561
42,2022-01-04,336002.01,112452.09,11.95,300,Acima de 10 SM,SP,Usado,Livre,742,74.92,0,2022-02-01,2024-12-01,35,54,Sudeste,7.42,7.492,5.0,12.724872421070305
43,2022-01-04,126564.19,30908.21,4.59,300,3 a 6 SM,MT,Usado,MCMV,604,80.37,0,2022-02-01,2024-12-01,35,53,Centro-Oeste,6.04,8.037,5.0,11.748504889280264
44,2022-01-04,302120.9,109890.15,7.89,360,Acima de 10 SM,PR,Novo,FGTS,822,73.33,1,2022-02-01,2024-12-01,35,154,Sul,8.22,7.333,6.0,12.618582547371709
45,2022-01-04,504615.73,164519.03,11.28,180,6 a 10 SM,MG,Usado,Livre,761,75.41,1,2022-02-01,2024-12-01,35,108,Sudeste,7.61,7.5409999999999995,3.0,13.13155248790972
46,2022-01-05,156583.48,24662.91,9.17,300,Até 3 SM,RJ,Usado,FGTS,534,86.39,1,2022-02-01,2024-12-01,35,175,Sudeste,5.34,8.639,5.0,11.961344565275605
47,2022-01-05,120183.28,15359.45,5.61,240,Até 3 SM,AM,Usado,MCMV,607,88.67,0,2022-02-01,2024-12-01,35,44,Norte,6.07,8.867,4.0,11.69677318991023
48,2022-01-05,379057.09,111351.19,8.88,180,6 a 10 SM,DF,Novo,Livre,638,77.29,1,2022-02-01,2024-12-01,35,150,Centro-Oeste,6.38,7.729000000000001,3.0,12.845442105965898
49,2022-01-05,83058.92,11424.49,6.97,180,3 a 6 SM,MG,Novo,MCMV,657,87.91,0,2022-02-01,2024-12-01,35,76,Sudeste,6.57,8.791,3.0,11.327305514451522
50,2022-01-05,80000.0,11081.08,4.25,360,Até 3 SM,MS,Usado,MCMV,656,87.83,1,2022-02-01,2024-12-01,35,177,Centro-Oeste,6.56,8.783,6.0,11.289781913656018
51,2022-01-05,150339.24,22328.77,7.95,360,Até 3 SM,PI,Usado,FGTS,709,87.07,1,2022-02-01,2024-12-01,35,141,Nordeste,7.09,8.706999999999999,6.0,11.920649619510488
52,2022-01-05,650000.0,185846.83,9.31,300,6 a 10 SM,SP,Novo,Livre,688,77.77,1,2022-02-01,2024-12-01,35,110,Sudeste,6.88,7.776999999999999,5.0,13.38472764187182
53,2022-01-05,250746.86,85213.66,7.2,240,Acima de 10 SM,BA,Usado,FGTS,813,74.64,0,2022-02-01,2024-12-01,35,85,Nordeste,8.13,7.464,4.0,12.432199183313074
54,2022-01-05,116613.08,17659.48,5.43,360,Até 3 SM,SP,Novo,MCMV,628,86.85,1,2022-02-01,2024-12-01,35,141,Sudeste,6.28,8.684999999999999,6.0,11.666616724994654
55,2022-01-05,153917.14,21702.61,8.83,240,Até 3 SM,AP,Usado,FGTS,709,87.64,1,2022-02-01,2024-12-01,35,180,Norte,7.09,8.764,4.0,11.944169684645821
56,2022-01-05,139700.12,24417.11,5.47,300,3 a 6 SM,SP,Usado,MCMV,540,85.12,1,2022-02-01,2024-12-01,35,93,Sudeste,5.4,8.512,5.0,11.847253404228221
57,2022-01-05,133672.97,18647.32,9.3,120,Até 3 SM,RJ,Usado,FGTS,522,87.76,1,2022-02-01,2024-12-01,35,142,Sudeste,5.22,8.776,2.0,11.803151573615967
58,2022-01-05,118387.36,18798.19,8.04,300,3 a 6 SM,RN,Usado,FGTS,689,86.3,0,2022-02-01,2024-12-01,35,53,Nordeste,6.89,8.629999999999999,5.0,11.681717238976377
59,2022-01-05,189750.83,43044.04,9.11,360,6 a 10 SM,RN,Novo,FGTS,773,81.51,1,2022-02-01,2024-12-01,35,112,Nordeste,7.73,8.151,6.0,12.153467069424858
60,2022-01-05,107125.49,24449.14,5.33,120,3 a 6 SM,RS,Usado,MCMV,599,81.42,0,2022-02-01,2024-12-01,35,77,Sul,5.99,8.142,2.0,11.581756229985302
61,2022-01-06,214686.08,43780.18,10.16,300,3 a 6 SM,SC,Novo,Livre,615,83.06,1,2022-02-01,2024-12-01,35,165,Sul,6.15,8.306000000000001,5.0,12.276932147112012
62,2022-01-06,158084.59,21273.22,6.22,240,Até 3 SM,RJ,Novo,MCMV,500,88.14,0,2022-02-01,2024-12-01,35,72,Sudeste,5.0,8.814,4.0,11.970885548491335
63,2022-01-06,180518.11,29023.13,5.04,300,Até 3 SM,MA,Novo,MCMV,632,86.15,1,2022-02-01,2024-12-01,35,116,Nordeste,6.32,8.615,5.0,12.103586384132086
64,2022-01-06,334157.13,103838.89,8.88,300,6 a 10 SM,SP,Novo,FGTS,612,76.29,1,2022-02-01,2024-12-01,35,109,Sudeste,6.12,7.6290000000000004,5.0,12.71936661043415
65,2022-01-06,389904.24,161350.37,11.9,300,Acima de 10 SM,PB,Novo,Livre,716,70.73,0,2022-02-01,2024-12-01,35,89,Nordeste,7.16,7.073,5.0,12.873656449494787
66,2022-01-06,137885.63,16830.2,6.95,180,Até 3 SM,MG,Usado,MCMV,661,89.12,1,2022-02-01,2024-12-01,35,145,Sudeste,6.61,8.912,3.0,11.834179852405239
67,2022-01-06,85507.55,13442.29,6.31,300,Até 3 SM,BA,Usado,MCMV,561,86.42,0,2022-02-01,2024-12-01,35,51,Nordeste,5.61,8.642,5.0,11.356359955119842
68,2022-01-06,117772.13,16689.42,4.88,240,Até 3 SM,PB,Novo,MCMV,653,87.59,0,2022-02-01,2024-12-01,35,31,Nordeste,6.53,8.759,4.0,11.676506934772068
69,2022-01-06,135374.53,20155.85,8.91,180,Até 3 SM,ES,Usado,FGTS,467,87.04,1,2022-02-01,2024-12-01,35,127,Sudeste,4.67,8.704,3.0,11.815800512459777
70,2022-01-06,124424.64,17403.72,8.31,300,Até 3 SM,BA,Novo,FGTS,659,87.73,1,2022-02-01,2024-12-01,35,145,Nordeste,6.59,8.773,5.0,11.731455510413348
71,2022-01-06,106639.58,22360.02,5.57,120,3 a 6 SM,MG,Novo,MCMV,722,82.67,0,2022-02-01,2024-12-01,35,75,Sudeste,7.22,8.267,2.0,11.577210016360214
72,2022-01-07,128013.88,21111.27,6.7,360,Até 3 SM,SP,Usado,MCMV,672,85.84,0,2022-02-01,2024-12-01,35,86,Sudeste,6.72,8.584,6.0,11.759893974522834
73,2022-01-07,116937.38,19191.26,7.11,120,3 a 6 SM,PI,Novo,FGTS,690,85.9,1,2022-02-01,2024-12-01,35,151,Nordeste,6.9,8.59,2.0,11.669393856826716
74,2022-01-07,185232.84,41339.28,8.4,360,3 a 6 SM,MG,Novo,FGTS,563,81.75,0,2022-02-01,2024-12-01,35,62,Sudeste,5.63,8.175,6.0,12.129368907288816
75,2022-01-07,297453.65,55112.62,7.81,360,6 a 10 SM,RJ,Usado,FGTS,727,84.37,0,2022-02-01,2024-12-01,35,88,Sudeste,7.27,8.437000000000001,6.0,12.603013693510675
76,2022-01-07,235110.05,77872.5,7.69,120,6 a 10 SM,SP,Usado,FGTS,684,75.12,1,2022-02-01,2024-12-01,35,99,Sudeste,6.84,7.5120000000000005,2.0,12.367808981381408
77,2022-01-07,135430.56,25052.67,6.84,360,3 a 6 SM,RN,Usado,MCMV,639,84.39,1,2022-02-01,2024-12-01,35,99,Nordeste,6.39,8.439,6.0,11.816214315618348
78,2022-01-07,109468.38,26465.6,7.2,120,3 a 6 SM,PR,Novo,FGTS,669,80.53,1,2022-02-01,2024-12-01,35,173,Sul,6.69,8.053,2.0,11.60339101941415
79,2022-01-07,98875.29,14198.09,5.2,240,Até 3 SM,PA,Usado,MCMV,543,87.44,1,2022-02-01,2024-12-01,35,134,Norte,5.43,8.744,4.0,11.501614638061861
80,2022-01-07,112591.22,27239.97,7.79,360,3 a 6 SM,SP,Usado,FGTS,562,80.52,1,2022-02-01,2024-12-01,35,134,Sudeste,5.62,8.052,6.0,11.631519016514293
81,2022-01-08,205086.62,37323.69,9.05,360,6 a 10 SM,MG,Novo,FGTS,810,84.6,1,2022-02-01,2024-12-01,35,180,Sudeste,8.1,8.459999999999999,6.0,12.231187705462466
82,2022-01-08,119694.02,15640.57,6.04,300,Até 3 SM,RJ,Novo,MCMV,517,88.44,1,2022-02-01,2024-12-01,35,146,Sudeste,5.17,8.844,5.0,11.692693932069204
83,2022-01-08,110466.5,15250.43,5.44,360,Até 3 SM,PB,Novo,MCMV,489,87.87,1,2022-02-01,2024-12-01,35,117,Nordeste,4.89,8.787,6.0,11.612467586554597
84,2022-01-08,107046.47,18762.24,4.63,240,Até 3 SM,PR,Novo,MCMV,670,85.09,0,2022-02-01,2024-12-01,35,59,Sul,6.7,8.509,4.0,11.58101831822892
85,2022-01-08,80000.0,9091.61,4.1,120,Até 3 SM,MG,Novo,MCMV,565,89.8,1,2022-02-01,2024-12-01,35,166,Sudeste,5.65,8.98,2.0,11.289781913656018
86,2022-01-08,138868.47,20006.98,7.13,300,Até 3 SM,GO,Usado,FGTS,677,87.41,0,2022-02-01,2024-12-01,35,79,Centro-Oeste,6.77,8.741,5.0,11.841282505134354
87,2022-01-08,97959.98,19640.45,4.37,360,3 a 6 SM,SP,Usado,MCMV,511,83.3,1,2022-02-01,2024-12-01,35,133,Sudeste,5.11,8.33,6.0,11.492314306901118
88,2022-01-08,171465.1,21818.0,8.0,180,Até 3 SM,GO,Novo,FGTS,482,88.71,1,2022-02-01,2024-12-01,35,116,Centro-Oeste,4.82,8.870999999999999,3.0,12.05213502633722
89,2022-01-08,127405.62,19024.23,6.69,300,Até 3 SM,MG,Usado,MCMV,618,87.01,1,2022-02-01,2024-12-01,35,144,Sudeste,6.18,8.701,5.0,11.755131134177077
90,2022-01-08,106439.69,15356.99,7.17,120,Até 3 SM,CE,Usado,FGTS,521,87.39,1,2022-02-01,2024-12-01,35,149,Nordeste,5.21,8.739,2.0,11.575333812648452
91,2022-01-08,222656.1,32245.08,5.09,180,Até 3 SM,BA,Usado,MCMV,596,87.35,1,2022-02-01,2024-12-01,35,147,Nordeste,5.96,8.735,3.0,12.313383707634824
92,2022-01-09,174177.75,21046.38,7.3,360,Até 3 SM,RS,Novo,FGTS,449,89.22,0,2022-02-01,2024-12-01,35,80,Sul,4.49,8.922,6.0,12.067831608491922
93,2022-01-09,108353.19,13321.07,6.61,360,Até 3 SM,PR,Usado,MCMV,615,89.05,1,2022-02-01,2024-12-01,35,145,Sul,6.15,8.905,6.0,11.593151448155474
94,2022-01-09,114089.35,24197.77,6.57,360,3 a 6 SM,AL,Usado,MCMV,755,82.5,1,2022-02-01,2024-12-01,35,135,Nordeste,7.55,8.25,6.0,11.644737192317633
95,2022-01-09,128844.9,21042.68,4.91,300,Até 3 SM,PR,Usado,MCMV,591,85.96,1,2022-02-01,2024-12-01,35,167,Sul,5.91,8.596,5.0,11.766364634389134
96,2022-01-09,80000.0,12799.57,5.73,300,Até 3 SM,PR,Usado,MCMV,626,86.21,0,2022-02-01,2024-12-01,35,90,Sul,6.26,8.620999999999999,5.0,11.289781913656018
97,2022-01-09,167066.22,19892.76,8.67,240,Até 3 SM,RJ,Usado,FGTS,457,89.36,0,2022-02-01,2024-12-01,35,27,Sudeste,4.57,8.936,4.0,12.026145539748967
98,2022-01-09,184588.8,42246.38,9.05,180,3 a 6 SM,AC,Usado,FGTS,575,81.38,0,2022-02-01,2024-12-01,35,21,Norte,5.75,8.138,3.0,12.125885927487642
99,2022-01-10,200000.0,47016.27,9.15,240,3 a 6 SM,BA,Novo,Livre,543,80.97,1,2022-02-01,2024-12-01,35,166,Nordeste,5.43,8.097,4.0,12.206072645530174
100,2022-01-10,378476.58,74811.5,9.35,300,6 a 10 SM,SP,Usado,Livre,733,83.5,1,2022-02-01,2024-12-01,35,106,Sudeste,7.33,8.35,5.0,12.843909474119625
101,2022-01-10,148745.17,33311.59,9.33,180,3 a 6 SM,PR,Novo,FGTS,548,81.7,1,2022-02-01,2024-12-01,35,130,Sul,5.48,8.17,3.0,11.90998985229246
102,2022-01-10,104149.42,14566.82,4.79,300,3 a 6 SM,SP,Usado,MCMV,630,87.73,0,2022-02-01,2024-12-01,35,62,Sudeste,6.3,8.773,5.0,11.55358187778259
103,2022-01-10,280833.28,73370.39,11.92,360,6 a 10 SM,PR,Novo,Livre,712,79.29,1,2022-02-01,2024-12-01,35,149,Sul,7.12,7.929,6.0,12.545516462629546
104,2022-01-10,108855.28,13398.92,4.02,300,Até 3 SM,PE,Usado,MCMV,567,89.04,1,2022-02-01,2024-12-01,35,120,Nordeste,5.67,8.904,5.0,11.59777457260615
105,2022-01-10,138724.38,31363.03,5.05,300,3 a 6 SM,SP,Novo,MCMV,506,81.56,0,2022-02-01,2024-12-01,35,66,Sudeste,5.06,8.156,5.0,11.840244365910372
106,2022-01-10,200000.0,36168.63,10.39,360,3 a 6 SM,SP,Novo,Livre,617,84.69,1,2022-02-01,2024-12-01,35,143,Sudeste,6.17,8.469,6.0,12.206072645530174
107,2022-01-10,132743.46,32319.18,4.88,240,3 a 6 SM,MT,Novo,MCMV,610,80.42,0,2022-02-01,2024-12-01,35,74,Centro-Oeste,6.1,8.042,4.0,11.796173672353875
108,2022-01-10,138551.87,24182.08,4.33,300,Até 3 SM,SP,Novo,MCMV,668,85.14,1,2022-02-01,2024-12-01,35,118,Sudeste,6.68,8.514,5.0,11.839000047132558
109,2022-01-10,189031.04,35263.33,9.44,120,3 a 6 SM,PA,Usado,FGTS,668,84.28,1,2022-02-01,2024-12-01,35,131,Norte,6.68,8.428,2.0,12.149666513361282
110,2022-01-11,109623.92,23906.28,6.96,300,3 a 6 SM,SP,Novo,MCMV,573,82.1,1,2022-02-01,2024-12-01,35,174,Sudeste,5.73,8.209999999999999,5.0,11.604810877858567
111,2022-01-11,219021.96,37759.79,9.35,360,Até 3 SM,DF,Usado,FGTS,485,85.29,1,2022-02-01,2024-12-01,35,155,Centro-Oeste,4.85,8.529,6.0,12.296927277744143
112,2022-01-11,108733.41,22724.19,5.69,240,3 a 6 SM,MA,Usado,MCMV,522,82.71,0,2022-02-01,2024-12-01,35,56,Nordeste,5.22,8.270999999999999,4.0,11.596654385589595
113,2022-01-11,104020.32,17887.98,7.36,300,Até 3 SM,SP,Novo,FGTS,526,85.33,1,2022-02-01,2024-12-01,35,174,Sudeste,5.26,8.533,5.0,11.552341543653807
114,2022-01-11,594262.94,180518.13,8.87,120,6 a 10 SM,BA,Novo,Livre,864,76.7,1,2022-02-01,2024-12-01,35,104,Nordeste,8.64,7.67,2.0,13.295077160332436
115,2022-01-11,293432.96,64197.49,9.1,120,6 a 10 SM,SP,Novo,FGTS,661,82.05,0,2022-02-01,2024-12-01,35,83,Sudeste,6.61,8.205,2.0,12.589404476486543
116,2022-01-11,516684.59,140034.56,10.32,300,6 a 10 SM,RN,Novo,Livre,730,78.68,1,2022-02-01,2024-12-01,35,159,Nordeste,7.3,7.868,5.0,13.155187889948206
117,2022-01-11,147589.8,28519.32,5.46,120,3 a 6 SM,GO,Usado,MCMV,735,83.81,0,2022-02-01,2024-12-01,35,81,Centro-Oeste,7.35,8.381,2.0,11.902192083069544
118,2022-01-11,89968.06,17429.0,6.68,120,3 a 6 SM,RJ,Novo,MCMV,531,83.77,1,2022-02-01,2024-12-01,35,138,Sudeste,5.31,8.376999999999999,2.0,11.40720999743555
119,2022-01-11,298647.95,83685.92,8.85,120,6 a 10 SM,MG,Usado,FGTS,767,78.11,0,2022-02-01,2024-12-01,35,9,Sudeste,7.67,7.811,2.0,12.60702073391456
120,2022-01-11,138158.05,27493.25,8.62,300,3 a 6 SM,MG,Novo,FGTS,512,83.4,1,2022-02-01,2024-12-01,35,137,Sudeste,5.12,8.34,5.0,11.836153598650313
121,2022-01-11,139200.46,31919.67,6.94,180,3 a 6 SM,MG,Novo,MCMV,800,81.35,0,2022-02-01,2024-12-01,35,41,Sudeste,8.0,8.135,3.0,11.843670331474698
122,2022-01-11,141462.08,16442.09,5.16,240,Até 3 SM,RS,Novo,MCMV,503,89.59,1,2022-02-01,2024-12-01,35,155,Sul,5.03,8.959,4.0,11.859786974285075
123,2022-01-12,381337.61,118582.63,9.0,300,Acima de 10 SM,PR,Novo,FGTS,845,76.28,1,2022-02-01,2024-12-01,35,144,Sul,8.45,7.628,5.0,12.851440377225847
124,2022-01-12,202079.39,45077.11,5.29,360,3 a 6 SM,BA,Usado,MCMV,753,81.76,1,2022-02-01,2024-12-01,35,167,Nordeste,7.53,8.176,6.0,12.21641591897327
125,2022-01-12,445800.91,126437.01,11.64,240,Acima de 10 SM,SC,Novo,Livre,640,77.9,1,2022-02-01,2024-12-01,35,126,Sul,6.4,7.790000000000001,4.0,13.007627741205937
126,2022-01-12,141871.11,17732.43,7.04,300,Até 3 SM,MG,Usado,FGTS,520,88.89,1,2022-02-01,2024-12-01,35,147,Sudeste,5.2,8.889,5.0,11.862674248339708
127,2022-01-12,131976.79,22694.39,5.88,300,Até 3 SM,SP,Usado,MCMV,644,85.33,1,2022-02-01,2024-12-01,35,170,Sudeste,6.44,8.533,5.0,11.790381352774682
128,2022-01-12,98913.91,11924.73,6.09,360,Até 3 SM,AM,Usado,MCMV,692,89.24,1,2022-02-01,2024-12-01,35,148,Norte,6.92,8.924,6.0,11.502005154839226
129,2022-01-12,387941.5,83627.87,9.46,360,6 a 10 SM,MG,Usado,Livre,777,82.27,1,2022-02-01,2024-12-01,35,107,Sudeste,7.77,8.227,6.0,12.868609834042113
130,2022-01-12,168348.02,29694.26,8.6,360,3 a 6 SM,SP,Usado,FGTS,820,85.01,0,2022-02-01,2024-12-01,35,9,Sudeste,8.2,8.501000000000001,6.0,12.033788663308295
131,2022-01-12,155504.31,23321.1,9.02,300,3 a 6 SM,SP,Novo,FGTS,732,86.96,1,2022-02-01,2024-12-01,35,108,Sudeste,7.32,8.696,5.0,11.954428727259117
132,2022-01-12,137362.25,19057.44,8.87,300,Até 3 SM,RR,Usado,FGTS,702,87.82,1,2022-02-01,2024-12-01,35,177,Norte,7.02,8.782,5.0,11.830376875751703
133,2022-01-12,114905.17,13278.42,7.53,180,Até 3 SM,RS,Usado,FGTS,615,89.64,1,2022-02-01,2024-12-01,35,125,Sul,6.15,8.964,3.0,11.651862458472964
134,2022-01-12,208905.03,31431.27,7.5,180,3 a 6 SM,GO,Usado,FGTS,631,86.92,1,2022-02-01,2024-12-01,35,121,Centro-Oeste,6.31,8.692,3.0,12.249635025761236
135,2022-01-13,107902.05,14731.67,7.73,240,3 a 6 SM,SP,Novo,FGTS,572,87.99,1,2022-02-01,2024-12-01,35,145,Sudeste,5.72,8.799,4.0,11.588979150138963
136,2022-01-13,284927.04,82708.59,7.96,240,6 a 10 SM,MS,Usado,FGTS,767,77.5,1,2022-02-01,2024-12-01,35,120,Centro-Oeste,7.67,7.75,4.0,12.559988426477194
137,2022-01-13,123620.08,23335.51,8.19,240,3 a 6 SM,CE,Novo,FGTS,634,84.12,1,2022-02-01,2024-12-01,35,107,Nordeste,6.34,8.412,4.0,11.72496827035753
138,2022-01-13,174932.55,28856.65,7.16,300,Até 3 SM,PR,Usado,FGTS,569,85.84,1,2022-02-01,2024-12-01,35,93,Sul,5.69,8.584,5.0,12.07215575003754
139,2022-01-13,153162.67,25433.74,4.68,240,3 a 6 SM,PR,Usado,MCMV,595,85.76,1,2022-02-01,2024-12-01,35,141,Sul,5.95,8.576,4.0,11.939255838189348
